id_projeto,titulo,situacao,unidade_lista,sigla_unidade_lista,score_bm25,score_dense,score_rrf
1826,Centro de Política Comparada: Conhecimento Para Além das Fronteiras da Universidade,Inadimplente,Departamento de Ciências Sociais,DCS/CCHN,7.599817376353284,0.8416008,0.0024579697808044263
3156,LEPHIS - Laboratório de Ensino e Pesquisa em História: Cultura e História Local,Inadimplente,Departamento de Educação e Ciências Humanas,DECH/CEUNES,10.509483918726403,0.8336521,0.002453898070893341
5353,Evento de Culminância do Projeto de educação Ambiental Redes de Cidadania,Aguardando envio de relatório,Divisão de Gestão da Comunicação,DGC/Proex,10.215164568592005,0.8352484,0.0024495411542771227
3621,  Aprendizagem da natação infantil: metodologias alternativas para o ensino ,Concluído,Departamento de Desportos,DD/CEFD,7.397328018837776,0.84196275,0.0024453527183112456
1679,EDUCAÇÃO E CINEMA: A FORMAÇÃO CULTURAL DOS PROFESSORES EM TELA - 12022,Inadimplente,Departamento de Ginástica,DG/CEFD,9.857816898725186,0.8366271,0.002441814872686201
4146,III Simpósio sobre Pesquisa e Extensão em Doenças Infecciosas (SIMPEDI),Inadimplente,Departamento de Patologia,DPA/CCS,8.975508353415993,0.8390642,0.0024375077726650914
465,LIGA ACADÊMICA DE CARREIRAS PROFISSIONAIS DA UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO (LACAP - UFES),Concluído,Departamento de Engenharia de Produção,DEP/CT,8.712442722255448,0.84020483,0.002436799003026527
1103,Projeto Acolher e Cuidar:  Atenção à Saúde Mental de Estudantes de Enfermagem,Concluído,Departamento de Enfermagem,DE/CCS,8.748185964217932,0.8400461,0.002432957190872351
3929,40 anos dos CEIERs: memórias afetivas,Inadimplente,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,6.515627448512963,0.84263784,0.0024315895056891204
1009,IV Seminário de Ciências Sociais: 10 Anos do Programa de Pós Graduação em Ciências Sociais na Ufes,Concluído,Departamento de Ciências Sociais,DCS/CCHN,7.362258956956469,0.8419725,0.002429152271690242
675,Estatística para todos,Ativo,Departamento de Estatística,DE/CCE,7.26238245536606,0.8421382,0.002428014368312876
3593,X Seminário de Estágio Supervisionado em Educação Física: docência e diversidade,Concluído,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,10.993112436247873,0.8265453,0.0024272827741035835
409,Orientação quanto a prevenção de Infecções Sexualmente Transmissíveis (IST's) em Alegre-ES.,Ativo,Departamento de Farmácia e Nutrição,DFN/CCENS,6.859740939404883,0.84247625,0.002420736104407401
2857,II Encontro Regionalizado: diálogos sobre os rumos da política de EJA no ES ,Concluído,"Departamento de Linguagens, Cultura e Educação",DLCE/CE,10.709363294865947,0.8310613,0.0024194620565083642
4022,AÇÃO LAEM/UFES PARA PROMOÇÃO DO AUTO CUIDADO NO DIABETES MELLITUS  2023,Relatório aguardando aprovação,Departamento de Clínica Médica,DCM/CCS,8.258546624137738,0.84073967,0.0024178242610240672
741,Produção de Programas Educacionais e Mídias - 11907,Inadimplente,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,10.784682982901153,0.8301259,0.002417331662309229
1813,Iniciativa Conjunta para Promoção da Abordagem em Saúde Única,Inadimplente,Departamento de Patologia,DPA/CCS,9.028359369971144,0.8387241,0.0024164241555545904
1325,Saúde do Adulto,Inadimplente,Departamento de Medicina Social,DMS/CCS,8.564233307828761,0.8403887,0.00241445330731045
5060,Economia e Sociedade Capixaba 2025.2,Concluído,Departamento de Economia,DE/CCJE,7.253670247272272,0.8421078,0.002413945638285956
3321,O ENSINO DE FUNÇÕES MATEMÁTICAS UTILIZANDO O SOFTWARE GEOGEBRA .,Ativo,Coordenação do Curso de Matemática (Licenciatura),CCML/CEUNES,7.467725719131458,0.8416548,0.0024134199134199135
2874,Painel da Década do Oceano para o Espírito Santo,Inadimplente,Programa de Pós-Graduação em Oceanografia Ambiental,PPGOA/CCHN,11.018662088557264,0.8253721,0.0024123358081096515
669,Atenção Nutricional no Aleitamento Materno - ANAMATER,Aguardando envio de relatório,Departamento de Educação Integrada em Saúde,DEIS/CCS,8.690724142985509,0.8401034,0.002411637992699686
270,Abordagem em saúde às pessoas em situação de violência,Concluído,Departamento de Enfermagem,DE/CCS,8.710590567882768,0.84006214,0.0024105924105924104
2329,Empresa Junior (Projeta Jr) - Registro,Ativo,Departamento de Engenharia e Tecnologia,DET/CEUNES,7.116288820647921,0.8422973,0.002409026728430231
2626,CompTalk,Concluído,Departamento de Computação e Eletrônica,DCE/CEUNES,7.148125697925542,0.8422412,0.002408243851687247
5138,A ABORDAGEM FENOMENOLÓGICA NA EDUCAÇÃO: PRODUÇÃO DE VIDEOAULAS PARA O CANAL DO GRUPO DE PESQUISA EM FENOMENOLOGIA NA EDUCAÇÃO(UFES) NO YOUTUBE,Ativo,Departamento de Teorias de Ensino e Práticas Educacionais,DTEPE/CE,7.1547447808012095,0.84218717,0.0024032150393591425
3240,I Mostra de Pesquisa dos Cursos de Enfermagem e Farmácia do Ceunes/Ufes,Concluído,Departamento de Ciências da Saúde,DCS/CEUNES,8.768776650597227,0.8397527,0.002400233016324882
4502,Pandemia e divulgação científica: ressignificando a biologia celular,Concluído,Departamento de Ciências Agrárias e Biológicas,DCAB/CEUNES,7.110460214904792,0.84221995,0.002396788829734931
4388,METODOLOGIAS PARTICIPATIVAS E POLÍTICAS PÚBLICAS EM EDUCAÇÃO AMBIENTAL,Concluído,Departamento de Ciências Agrárias e Biológicas,DCAB/CEUNES,10.798606132985714,0.8292487,0.002392894461859979
3902,Ciclo de Oficinas para idosos: Unapi na Gaeu,Ativo,Divisão de Artes Plásticas,DAP/SECULT,7.184014727421438,0.84210813,0.00239168048446399
5410,Olimpíada de Foguetes de Precisão ,Ativo,Departamento de Física,DFis/CCE,6.984795627358547,0.8423247,0.002391622024733281
3157,Uso de Tecnologias Digitais no Ensino de Matemática,Concluído,Departamento de Matemática,DM/CCE,6.701389386829511,0.8424162,0.0023901743222266543
3144,I Roda de Conversa sobre Educação em Saúde: experiências nas ações sobre sexualidade ,Concluído,Departamento de Enfermagem,DE/CCS,8.821422111073469,0.8394824,0.0023881369914707427
431,Fortalecimento e ampliação da linha de cuidado em obesidade na rede pública de saúde no Espírito Santo,Ativo,Hospital Universitário Cassiano Antônio Moraes,HUCAM,10.624939328831621,0.8314452,0.0023880054227862903
195,Curso de formação continuada para professores de biologia em Sistemática Biológica - Turma 2,Concluído,Departamento de Ciências Biológicas,DCB/CCHN,7.392650435706149,0.8417011,0.0023868127827765466
2196,"""FONO HORTA E JARDIM""- Fonoaudiologia e cuidado continuado do adulto ao idoso com horticultura e jardinagem.",Concluído,Departamento de Fonoaudiologia,DF/CCS,8.981068051507634,0.8386771,0.002379049782002215
1744,Biotube – Biologia no YouTube,Inadimplente,Departamento de Ciências da Saúde,DCS/CEUNES,6.752184793610208,0.84235805,0.0023789221027365895
1883,Observatório Capixaba - Covid-19 nas Favelas,Inadimplente,Departamento de Estatística,DE/CCE,10.636689245481175,0.8311308,0.002377733803935846
5422,Fisiologia em ação: Saúde e conhecimento para a comunidade,Ativo,Departamento de Ciências da Saúde,DCS/CEUNES,9.062579157910056,0.8382967,0.002376126126126126
5399,DMA14829 - Seminários de cultura matemática de diferentes povos - 2026-1,Ativo,Departamento de Matemática Aplicada,DMA/CEUNES,6.281705526978522,0.84244174,0.0023760318255558735
